Item,Team,Cycle,Status,Health,Progress,OKRs,Appetite (weeks),ETA,Release,Blocked by,Blocking,Product,Owner,Parent item,Sub-item
Collaborative Brainstorm Board,StriveForce Squad,Q4 2023,Ready for Release,Off Track,1,Enhance User Engagement for InnoHub Connect:,6,10/30/2023 → 11/24/2023,v.1.0,,SprintMaster Planning Module (https://www.notion.so/SprintMaster-Planning-Module-22c9c4db60488158a195d2ff5ccb8eff?pvs=21),InnoHub Connect,Myron Notion,,"Sub-item 1 (https://www.notion.so/Sub-item-1-22c9c4db6048811eadcfca2ed7677bdd?pvs=21), Sub-item 2 (https://www.notion.so/Sub-item-2-22c9c4db6048817998acd93a76dd6253?pvs=21)"
Sub-item 1,,,Done,,,,,,,,,InnoHub Connect,,Collaborative Brainstorm Board (https://www.notion.so/Collaborative-Brainstorm-Board-22c9c4db604881ce8adafd9ee9b25406?pvs=21),
Sub-item 2,,,Done,,,,,,,,,InnoHub Connect,,Collaborative Brainstorm Board (https://www.notion.so/Collaborative-Brainstorm-Board-22c9c4db604881ce8adafd9ee9b25406?pvs=21),
Integration Wizard for Third-Party Apps,StriveForce Squad,Q1 2024,Ready for Development,On Track,0,Enhance User Engagement for InnoHub Connect:,2,02/14/2024 → 04/03/2024,v.2.0,,,InnoHub Connect,Myron Notion,,"Sub-item 1 (https://www.notion.so/Sub-item-1-22c9c4db60488112b864da8dbd34e174?pvs=21), Sub-item 2 (https://www.notion.so/Sub-item-2-22c9c4db60488108add5fceb4e6e10ac?pvs=21)"
Sub-item 1,,,Backlog,,,,,,,,,InnoHub Connect,,Integration Wizard for Third-Party Apps (https://www.notion.so/Integration-Wizard-for-Third-Party-Apps-22c9c4db6048819da556d302f8dae2c9?pvs=21),
Sub-item 2,,,Backlog,,,,,,,,,InnoHub Connect,,Integration Wizard for Third-Party Apps (https://www.notion.so/Integration-Wizard-for-Third-Party-Apps-22c9c4db6048819da556d302f8dae2c9?pvs=21),
Real-time Idea Voting System,PinnacleCreators Team,Q2 2024,Opportunity Backlog,On Track,0,Enhance User Engagement for InnoHub Connect:,4,12/04/2023 → 01/01/2024,,,,InnoHub Connect,Myron Notion,,"Sub-item 1 (https://www.notion.so/Sub-item-1-22c9c4db60488170b15ff1e18290109b?pvs=21), Sub-item 2 (https://www.notion.so/Sub-item-2-22c9c4db604881779e8beb021ff6845a?pvs=21)"
Sub-item 2,,,Backlog,,,,,,,,,InnoHub Connect,,Real-time Idea Voting System (https://www.notion.so/Real-time-Idea-Voting-System-22c9c4db60488191b5f9c11c288a2cdb?pvs=21),
Sub-item 1,,,Backlog,,,,,,,,,InnoHub Connect,,Real-time Idea Voting System (https://www.notion.so/Real-time-Idea-Voting-System-22c9c4db60488191b5f9c11c288a2cdb?pvs=21),
SprintMaster Planning Module,PinnacleCreators Team,Q1 2024,Development In Progress,At Risk,0.5,Optimize Agile Delivery for AgileCraft Pro:,4,01/24/2024 → 02/22/2024,v.1.2,Collaborative Brainstorm Board (https://www.notion.so/Collaborative-Brainstorm-Board-22c9c4db604881ce8adafd9ee9b25406?pvs=21),,AgileCraft Pro,Myron Notion,,"Sub-item 1 (https://www.notion.so/Sub-item-1-22c9c4db6048811d98d6f00163a5d6a5?pvs=21), Sub-item 2 (https://www.notion.so/Sub-item-2-22c9c4db604881bbacb4c6072877bcfe?pvs=21)"
